"codmpio","ano","cod_dpto","depto","mpio","pobl_rur","pobl_urb","pobl_tot","indrural","altura","discapital","docen_total","t_establ","alumn_med","s11_ingles","s11_lectu","df_ing_propios","df_gast_inv","df_desemp_fisc","homicidios","extorsion","ataq_instpol","llegadas_pasajeros_nacionales","llegadas_internacionales","visitantes_extranjeros_no_residentes","visitantes_pnn","prestadores_de_servicios_turisticos_activos","establecimientos_de_alojamiento_y_hospedaje","actividades_terciarias","valor_agregado","participacion_terciarias","pdet","total_sisben","tasa_sisben","post","vocacion_turistica","tasa_homicidios","tasa_ataq_instpol","tasa_extorsion","log_t_establ","log_pobl_tot","tasa_docentes","tasa_alumnos_med","tasa_urbanizacion","valor_agregado_pc"
"05001",2013,"05","Antioquia","Medellín",31092,2386233,2417325,0.0128621514886618,1475,0,17937,867,51007,51.2250556945801,,78.54,88.72,84.82,899,457,0,483440,55,17177,0,0,0,28644.9812674272,40880.873855452,70.0693957000801,0,0,0,0,0,37.1898689667297,0,18.9051947917636,6.76619171466035,14.6981725285383,0.742018553566442,2.11005967339932,98.7137848655021,1.69116167066704
"05001",2014,"05","Antioquia","Medellín",30358,2410765,2441123,0.0124360797926784,1475,0,16622,876,52292,50.3602142333984,52.0736656188965,79.1372621033095,90.2822658201989,85.4978707045763,643,310,0,493610,71,195561,0,0,0,30975.0271570983,43042.3371196529,71.9640921704395,0,0,0,0,0,26.3403359847087,0,12.6990733363292,6.77650699237218,14.7079691469378,0.680916119343433,2.14212884807525,98.7563920375991,1.76321869564348
"05001",2015,"05","Antioquia","Medellín",29675,2434647,2464322,0.0120418518781662,1475,0,16631,841,50446,50.8691825866699,50.927661895752,80.2448399652295,86.0947579636166,83.7331068285936,479,243,0,542288,36,241279,0,0,0,33648.8607089197,45551.4046077442,73.8700836970438,0,0,0,0,0,19.4373949508222,0,9.86072436962377,6.73578001424233,14.7174276827066,0.674871222186062,2.04705391584379,98.7958148326396,1.84843557813241
"05001",2016,"05","Antioquia","Medellín",29043,2457680,2486723,0.0116792256012559,1475,0,17733,899,49386,51.0618438720703,51.3295059204102,79.26,83.98,81.15,530,336,0,,,,,,,36646.3042634469,49047.7614370643,74.7155490683702,0,1913949,76.9667148291145,0,0,21.3131900899296,0,13.5117582456912,6.80239476332431,14.7264767395463,0.713107169556078,1.98598718071936,98.8320773966381,1.97238540187485
"05001",2017,"05","Antioquia","Medellín",28462,2479990,2508452,0.0113464398309588,1475,0,17918,829,49020,50.666748046875,51.4209327697754,78.847948719471,87.2419076868711,83.6125479323748,572,488,0,53557,21,321541,0,0,0,39161.9155713122,51394.0117106913,76.1993747282537,0,1943631,77.4832845117228,1,0,22.8029079288741,0,19.4542291421163,6.72142570079064,14.7351767864343,0.714305077394345,1.95419326341505,98.8653560044203,2.04883377121393
"05001",2018,"05","Antioquia","Medellín",44730,2382399,2427129,0.0184291806071997,1475,0,17902,838,47765,51.1086120605469,51.4619903564453,78.06904629,87.639288,83.10742371,625,578,0,550879,0,361533,0,0,0,42241.0933005882,55082.3011800846,76.6872341852356,0,1989202,81.9569952812562,1,0,25.7505884524473,0,23.8141442008233,6.73221070646721,14.7022200473451,0.737579255161139,1.96796297188983,98.1570818856353,2.26944266992338
"05001",2019,"05","Antioquia","Medellín",44075,2439470,2483545,0.0177468098700047,1475,0,18009,828,48740,50.7724609375,50.9761047363281,77.0136025050484,85.8999550989159,81.9175580525954,576,648,0,593894,23,417605,0,0,0,46260.1909267063,59434.9662102885,77.8332922122507,0,2028055,81.6596840403536,1,0,23.1926540489502,0,26.091735805069,6.7202201551353,14.7251979356048,0.725132824249208,1.96251728879485,98.225319049987,2.3931503641081
"05001",2020,"05","Antioquia","Medellín",43260,2490164,2533424,0.0170757044106722,1475,0,18028,815,50739,50.345645904541,50.8062438964844,80.93,85.95,81.51,366,634,,246350,32,127128,0,0,0,46122.7240204055,57154.2276738092,80.6987092602095,0,2031970,80.20647155786,1,0,14.4468513758455,,25.025420142858,6.70441435496411,14.7450827001443,0.711606110939187,2.0027835845875,98.2924295341009,2.2560071931824
"05001",2021,"05","Antioquia","Medellín",42759,2530461,2573220,0.0166169237345457,1475,0,17859,793,51618,50.9503021240234,51.1369857788086,86.8373852651936,86.6457218537652,82.6970327575267,391,636,,532946,139,249861,0,0,0,53453.7470188844,66654.1998757038,80.1956172582742,0,1125328,43.7322887277419,1,0,15.194969726646,,24.7161144402733,6.67708346124714,14.7606689795303,0.694033156900692,2.00596917480822,98.3383076456735,2.59030319505148
"05002",2013,"05","Antioquia","Abejorral",12891,6587,19478,0.661823570728302,2275,58.2008743286133,207,67,460,48.235424041748,,60.56,88.69,71.67,6,1,0,0,0,306,0,0,0,97.2535731354174,148.804370853241,65.3566643088286,0,0,0,0,0,30.8039839819283,0,5.13399733032139,4.21950770517611,9.8770922411766,1.06273744737653,2.36163877194784,33.817640414827,0.763961242700695
